Survived,Pclass,Title,Sex,Age,SibSp,Parch,Fare,Embarked
0,3, Mr,male,22.0,1,0,7.25,S
1,1, Mrs,female,38.0,1,0,71.2833,C
1,3, Miss,female,26.0,0,0,7.925,S
1,1, Mrs,female,35.0,1,0,53.1,S
0,3, Mr,male,35.0,0,0,8.05,S
0,3, Mr,male,32.368090452261306,0,0,8.4583,Q
0,1, Mr,male,54.0,0,0,51.8625,S
0,3, Master,male,2.0,3,1,21.075,S
1,3, Mrs,female,27.0,0,2,11.1333,S
1,2, Mrs,female,14.0,1,0,30.0708,C
1,3, Miss,female,4.0,1,1,16.7,S
1,1, Miss,female,58.0,0,0,26.55,S
0,3, Mr,male,20.0,0,0,8.05,S
0,3, Mr,male,39.0,1,5,31.275,S
0,3, Miss,female,14.0,0,0,7.8542,S
1,2, Mrs,female,55.0,0,0,16.0,S
0,3, Master,male,2.0,4,1,29.125,Q
1,2, Mr,male,32.368090452261306,0,0,13.0,S
0,3, Mrs,female,31.0,1,0,18.0,S
1,3, Mrs,female,35.654205607476634,0,0,7.225,C
0,2, Mr,male,35.0,0,0,26.0,S
1,2, Mr,male,34.0,0,0,13.0,S
1,3, Miss,female,15.0,0,0,8.0292,Q
1,1, Mr,male,28.0,0,0,35.5,S
0,3, Miss,female,8.0,3,1,21.075,S
1,3, Mrs,female,38.0,1,5,31.3875,S
0,3, Mr,male,32.368090452261306,0,0,7.225,C
0,1, Mr,male,19.0,3,2,263.0,S
1,3, Miss,female,21.662068965517243,0,0,7.8792,Q
0,3, Mr,male,32.368090452261306,0,0,7.8958,S
0,1, Don,male,40.0,0,0,27.7208,C
1,1, Mrs,female,35.654205607476634,1,0,146.5208,C
1,3, Miss,female,21.662068965517243,0,0,7.75,Q
0,2, Mr,male,66.0,0,0,10.5,S
0,1, Mr,male,28.0,1,0,82.1708,C
0,1, Mr,male,42.0,1,0,52.0,S
1,3, Mr,male,32.368090452261306,0,0,7.2292,C
0,3, Mr,male,21.0,0,0,8.05,S
0,3, Miss,female,18.0,2,0,18.0,S
1,3, Miss,female,14.0,1,0,11.2417,C
0,3, Mrs,female,40.0,1,0,9.475,S
0,2, Mrs,female,27.0,1,0,21.0,S
0,3, Mr,male,32.368090452261306,0,0,7.8958,C
1,2, Miss,female,3.0,1,2,41.5792,C
1,3, Miss,female,19.0,0,0,7.8792,Q
0,3, Mr,male,32.368090452261306,0,0,8.05,S
0,3, Mr,male,32.368090452261306,1,0,15.5,Q
1,3, Miss,female,21.662068965517243,0,0,7.75,Q
0,3, Mr,male,32.368090452261306,2,0,21.6792,C
0,3, Mrs,female,18.0,1,0,17.8,S
0,3, Master,male,7.0,4,1,39.6875,S
0,3, Mr,male,21.0,0,0,7.8,S
1,1, Mrs,female,49.0,1,0,76.7292,C
1,2, Mrs,female,29.0,1,0,26.0,S
0,1, Mr,male,65.0,0,1,61.9792,C
1,1, Mr,male,32.368090452261306,0,0,35.5,S
1,2, Miss,female,21.0,0,0,10.5,S
0,3, Mr,male,28.5,0,0,7.2292,C
1,2, Miss,female,5.0,1,2,27.75,S
0,3, Master,male,11.0,5,2,46.9,S
0,3, Mr,male,22.0,0,0,7.2292,C
0,1, Mr,male,45.0,1,0,83.475,S
0,3, Master,male,4.0,3,2,27.9,S
0,1, Mr,male,32.368090452261306,0,0,27.7208,C
1,3, Master,male,4.574166666666667,1,1,15.2458,C
1,2, Mrs,female,29.0,0,0,10.5,S
0,3, Mr,male,19.0,0,0,8.1583,S
1,3, Miss,female,17.0,4,2,7.925,S
0,3, Mr,male,26.0,2,0,8.6625,S
0,2, Mr,male,32.0,0,0,10.5,S
0,3, Miss,female,16.0,5,2,46.9,S
0,2, Mr,male,21.0,0,0,73.5,S
0,3, Mr,male,26.0,1,0,14.4542,C
1,3, Mr,male,32.0,0,0,56.4958,S
0,3, Mr,male,25.0,0,0,7.65,S
0,3, Mr,male,32.368090452261306,0,0,7.8958,S
0,3, Mr,male,32.368090452261306,0,0,8.05,S
1,2, Master,male,0.83,0,2,29.0,S
1,3, Miss,female,30.0,0,0,12.475,S
0,3, Mr,male,22.0,0,0,9.0,S
1,3, Mr,male,29.0,0,0,9.5,S
1,3, Miss,female,21.662068965517243,0,0,7.7875,Q
0,1, Mr,male,28.0,0,0,47.1,S
1,2, Miss,female,17.0,0,0,10.5,S
1,3, Mrs,female,33.0,3,0,15.85,S
0,3, Mr,male,16.0,1,3,34.375,S
0,3, Mr,male,32.368090452261306,0,0,8.05,S
1,1, Miss,female,23.0,3,2,263.0,S
0,3, Mr,male,24.0,0,0,8.05,S
0,3, Mr,male,29.0,0,0,8.05,S
0,3, Mr,male,20.0,0,0,7.8542,S
0,1, Mr,male,46.0,1,0,61.175,S
0,3, Mr,male,26.0,1,2,20.575,S
0,3, Mr,male,59.0,0,0,7.25,S
0,3, Mr,male,32.368090452261306,0,0,8.05,S
0,1, Mr,male,71.0,0,0,34.6542,C
1,1, Mr,male,23.0,0,1,63.3583,C
1,2, Mrs,female,34.0,0,1,23.0,S
0,2, Mr,male,34.0,1,0,26.0,S
0,3, Miss,female,28.0,0,0,7.8958,S
0,3, Mr,male,32.368090452261306,0,0,7.8958,S
0,1, Mr,male,21.0,0,1,77.2875,S
0,3, Mr,male,33.0,0,0,8.6542,S
0,3, Mr,male,37.0,2,0,7.925,S
0,3, Mr,male,28.0,0,0,7.8958,S
1,3, Miss,female,21.0,0,0,7.65,S
1,3, Mr,male,32.368090452261306,0,0,7.775,S
0,3, Mr,male,38.0,0,0,7.8958,S
1,3, Miss,female,21.662068965517243,1,0,24.15,Q
0,1, Mr,male,47.0,0,0,52.0,S
